 4.15544  4.23165  4.38723  4.31354  3.51231  2.57124  2.38984  2.57124  3.51231  4.31354  4.38723  4.23165  4.15544
 3.41719  3.38004   4.1756  4.81998  4.49999  3.68112   3.0191  2.89312  3.87386   4.9302  5.00706  4.27133  3.41719
  3.4783  5.74467  8.30015  9.46421  8.54897  6.49047  4.25937  2.67139  2.57439  2.96304  2.78226  2.62416   3.4783
 7.72821 13.84326 17.84059 17.96405 14.35285  9.02202  3.72836  -0.1707  -1.9552   -2.507 -1.04877  2.32999  7.72821
18.33317 25.46424 27.83833 25.01387 17.28313  7.25579 -0.99146 -4.85841 -7.65074 -6.44889 -0.81761  8.25291 18.33317
28.62192 32.07817 30.15068  22.9226 10.82039 -1.15586 -6.22716 -8.87651 -7.39122 -1.36625  9.69098 21.33903 28.62192
32.65074 30.30311 23.35093  11.2424 -1.00658 -7.06304 -9.45477 -7.06304 -1.00721 11.24494 23.34086 30.31445 32.65074
28.61688  21.3384  9.68783 -1.35679 -7.38996 -8.88533 -6.22906 -1.15397 10.80652 22.90748 30.11856 32.07249 28.61688
18.32875  8.25355 -0.81635  -6.4426 -7.64948 -4.85399 -0.99525  7.25642 17.27557 24.99497  27.8295 25.44408 18.32875
 7.73389  2.34071 -1.04688 -2.49817  -1.9552 -0.16881  3.72962  9.02202  14.3497 17.96279 17.83113   13.842  7.73389
 3.48018  2.62163  2.78163  2.96241  2.57124  2.67013  4.26188  6.48858  8.55023  9.46484  8.30015  5.74718  3.48018
 3.42854  4.27323  5.00958  4.92957  3.87073  2.88681  3.02035  3.68428  4.49684  4.81872   4.1737  3.37876  3.42854
 4.15544  4.23165  4.38723  4.31354  3.51231  2.57124  2.38984  2.57124  3.51231  4.31354  4.38723  4.23165  4.15544
