Coupling
   1.729   2.172   1.057  -1.725  -4.282  -3.406   2.817  10.047  14.741   9.237   3.897   1.124   1.729
   3.501   4.094   2.705  -0.583  -1.701   1.698   7.707  15.491  14.670   9.039   4.216   2.453   3.501
   5.067   5.422   4.120   2.408   3.835   8.156  13.495  16.545  12.143   7.391   4.086   4.103   5.067
   5.765   5.444   4.262   5.058   9.114  13.152  18.651  13.183   9.159   5.086   4.202   5.407   5.765
NtermShift_transGly_transPro
 -18.244 -18.247 -16.216  -6.350   1.972   6.779  28.917   8.066   2.756  -6.406 -15.684 -17.604 -18.244
 -20.861 -19.701 -14.505  -5.156   2.887  16.714   0.907  -4.097  -6.459 -14.591 -19.533 -20.057 -20.861
 -24.124 -21.660 -12.547  -7.095   1.785   7.184  -7.109 -10.720 -19.124 -21.689 -22.100 -23.758 -24.124
 -17.639 -11.963  -6.547  -3.193   5.007   1.845  -5.061 -19.304 -31.808 -30.962 -23.364 -18.960 -17.639
 -13.420  -5.571  -7.447  -4.044   0.797  -3.227 -12.371 -29.643 -46.483 -38.614 -21.955 -16.335 -13.420
 -13.670  -9.495 -17.737 -14.872 -14.252 -18.880 -28.400 -53.463 -51.275 -36.612 -21.220 -18.378 -13.670
 -24.293 -30.212 -29.405 -29.784 -32.041 -36.806 -47.874 -37.465 -35.025 -29.952 -26.625 -27.031 -24.293
 -13.830 -21.418 -23.928 -36.990 -46.915 -55.228 -27.376 -22.363 -18.077 -19.701 -22.970 -28.356 -13.830
 -13.054 -17.089 -23.269 -40.240 -38.503 -23.604 -12.301  -4.619  -0.682  -3.938  -7.270  -4.075 -13.054
 -16.011 -18.107 -21.920 -29.219 -32.161 -18.229  -2.748   3.487   6.752  -1.454  -4.701  -9.847 -16.011
 -23.396 -23.776 -22.816 -22.872 -20.774 -10.647  -6.112   7.159   2.365  -6.918 -12.473 -21.592 -23.396
 -23.740 -22.409 -22.032 -17.170 -10.456  -6.645  -0.407  15.812   2.055  -6.473 -15.995 -22.391 -23.740
 -18.244 -18.247 -16.216  -6.350   1.972   6.779  28.917   8.066   2.756  -6.406 -15.684 -17.604 -18.244
CtermShift_transGly_transPro
 -15.938 -13.013  -4.354   5.090  13.263  28.016  46.237  27.838  13.099   5.198  -4.244 -13.076 -15.938
 -13.915  -6.498   0.254   9.991  23.245  40.588  31.279   9.930  -0.225  -3.154 -10.283 -14.375 -13.915
  -6.199  -0.263   3.081  15.174  30.194  31.358  10.172  -1.928  -6.729 -12.033 -13.327 -11.572  -6.199
   0.352   0.105   4.420  14.970  21.774  13.012   3.450   5.271   1.976  -7.341 -10.936  -6.403   0.352
  -0.222  -0.206   6.108   8.580   7.515   4.165   8.503  13.362  11.065  -2.323 -10.336  -3.345  -0.222
   0.744   2.227   7.081   4.136  -0.429   6.296  12.380  18.709  -5.031  -9.101  -7.508  -1.593   0.744
   4.778   5.484   2.427  -3.373  -1.682   6.734  16.700   2.777  -5.237  -7.812   0.171   3.662   4.778
   2.029  -0.322  -4.721  -4.902  -0.056  10.681   8.554   3.731  -0.884   4.381   7.283   8.046   2.029
   1.291  -2.109  -6.556  -1.407   5.146  10.462   6.778   5.816   8.069   9.383   7.238   1.644   1.291
  -0.218  -7.095 -13.814  -9.998   1.074   4.979   4.001  14.471  21.035  15.657   5.060   0.680  -0.218
  -6.746 -11.728 -14.887 -14.452  -8.006  -2.379  10.348  31.761  30.174  15.712   2.782  -1.097  -6.746
 -13.532 -14.744 -10.412  -3.786  -1.733   9.564  29.777  40.552  23.263  10.321   0.164  -6.947 -13.532
 -15.938 -13.013  -4.354   5.090  13.263  28.016  46.237  27.838  13.099   5.198  -4.244 -13.076 -15.938
Coupling_cisGly_transPro
  -2.863  -2.093   0.813   3.589   4.824   4.785   2.207   4.759   4.784   3.581   0.808  -2.095  -2.863
  -2.914  -2.216   1.277   3.119   4.993   3.923   2.382   4.122   3.974   2.903   0.370  -1.887  -2.914
  -2.512  -1.374   0.652   2.316   3.630   1.619   1.077   2.053   3.567   1.875  -0.238  -1.575  -2.512
  -1.110  -0.095   0.828   1.471   1.279  -0.301   0.145  -0.487   2.818   0.807  -0.271  -0.818  -1.110
  -0.290   0.722   0.828   0.909   0.510  -0.856  -1.078   0.097   0.966  -0.997  -0.746  -0.745  -0.290
  -0.292   0.451   0.546   0.582  -0.666  -1.583  -0.991   0.657  -1.941  -1.991  -1.227  -0.821  -0.292
  -0.650  -0.708  -0.416  -0.609  -1.191  -1.398  -0.726  -1.207  -1.101  -0.982  -0.595  -0.716  -0.650
  -0.238  -0.728  -1.002  -1.682  -1.523  -1.376  -0.704  -1.306  -0.603   0.559   0.595  -0.278  -0.238
  -0.213  -0.599  -0.525  -0.725   1.024   0.065  -0.789  -0.549   0.802   0.996   0.889   0.879  -0.213
  -1.063  -0.736  -0.226   0.842   2.963  -0.444   0.222   0.283   1.286   1.534   0.777   0.100  -1.063
  -2.357  -1.441   0.235   1.933   3.556   1.763   1.107   1.627   3.612   2.324   0.712  -1.238  -2.357
  -2.870  -1.823   0.415   2.917   3.956   3.999   2.309   3.969   4.997   3.059   1.259  -2.190  -2.870
  -2.863  -2.093   0.813   3.589   4.824   4.785   2.207   4.759   4.784   3.581   0.808  -2.095  -2.863
NtermShift_cisGly_transPro
